[Wed Apr 15 16:23:28.920987 2015] [:error] [pid 3434] [client 127.0.0.1:43085] PHP Warning:  preg_replace(): Delimiter must not be alphanumeric or backslash in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65
[Wed Apr 15 16:23:28.921021 2015] [:error] [pid 3434] [client 127.0.0.1:43085] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10
[Wed Apr 15 16:30:38.286007 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.286061 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.286637 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.286671 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.287257 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.287285 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.287931 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:30:38.288029 2015] [:error] [pid 3432] [client 127.0.0.1:43210] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.144277 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.144467 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.146395 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.146449 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.147366 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.147409 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.148388 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:31:41.148433 2015] [:error] [pid 1932] [client 127.0.0.1:43218] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.665406 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.665507 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.666696 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.666758 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.667892 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.667967 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.669133 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  preg_replace(): Unknown modifier '[' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:32:10.669195 2015] [:error] [pid 1931] [client 127.0.0.1:43232] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.778250 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  preg_replace(): Compilation failed: nothing to repeat at offset 15 in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.778338 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.779110 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  preg_replace(): Compilation failed: nothing to repeat at offset 15 in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.779149 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.779762 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  preg_replace(): Compilation failed: nothing to repeat at offset 15 in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.779795 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.780333 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  preg_replace(): Compilation failed: nothing to repeat at offset 15 in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 16:33:52.780379 2015] [:error] [pid 1932] [client 127.0.0.1:43263] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
